Estado:Clientes:Vendedores:Faturamento
Brasil - SC:3667:190:886765
Brasil - RO:14:2:5554
Brasil - PI:12:1:3184
Brasil - GO:463:40:112204
Brasil - MT:137:4:23643
Brasil - SP:70188:1849:13370891
Brasil - PB:36:6:20609
Brasil - ES:318:23:78828
Brasil - RS:1989:129:560278
Brasil - MS:49:5:10821
Brasil - MG:7930:244:1564744
Brasil - PA:8:1:1393
Brasil - BA:569:19:367910
Brasil - SE:9:2:2465
Brasil - PE:406:9:124883
Brasil - CE:91:13:25846
Brasil - RN:51:5:13553
Brasil - RJ:4353:171:1098261
Brasil - MA:392:1:51996
Brasil - DF:824:30:137816
Brasil - PR:7672:349:1846004
Brasil - AM:3:1:1258
Brasil - AC:1:1:300
